id,word,ee,ea,oo,ou
1,foo,FALSE,FALSE,FALSE,FALSE
2,bar,FALSE,FALSE,FALSE,FALSE
3,baz,FALSE,FALSE,FALSE,FALSE
4,And,FALSE,FALSE,FALSE,FALSE
5,Are,FALSE,FALSE,FALSE,FALSE
6,Ape,FALSE,FALSE,FALSE,FALSE
7,Ace,FALSE,FALSE,FALSE,FALSE
8,Act,FALSE,FALSE,FALSE,FALSE
9,Ask,FALSE,FALSE,FALSE,FALSE
10,Arm,FALSE,FALSE,FALSE,FALSE
11,Age,FALSE,FALSE,FALSE,FALSE
12,Ago,FALSE,FALSE,FALSE,FALSE
13,Air,FALSE,FALSE,FALSE,FALSE
14,Ate,FALSE,FALSE,FALSE,FALSE
15,All,FALSE,FALSE,FALSE,FALSE
16,But,FALSE,FALSE,FALSE,FALSE
17,Bye,FALSE,FALSE,FALSE,FALSE
18,Bad,FALSE,FALSE,FALSE,FALSE
19,Big,FALSE,FALSE,FALSE,FALSE
20,Bed,FALSE,FALSE,FALSE,FALSE
21,Bat,FALSE,FALSE,FALSE,FALSE
22,Boy,FALSE,FALSE,FALSE,FALSE
23,Bus,FALSE,FALSE,FALSE,FALSE
24,Bag,FALSE,FALSE,FALSE,FALSE
25,Box,FALSE,FALSE,FALSE,FALSE
26,Bit,FALSE,FALSE,FALSE,FALSE
27,Bee,FALSE,FALSE,FALSE,FALSE
28,Buy,FALSE,FALSE,FALSE,FALSE
29,Bun,FALSE,FALSE,FALSE,FALSE
30,Cub,FALSE,FALSE,FALSE,FALSE
31,Cat,FALSE,FALSE,FALSE,FALSE
32,Car,FALSE,FALSE,FALSE,FALSE
33,Cut,FALSE,FALSE,FALSE,FALSE
34,Cow,FALSE,FALSE,FALSE,FALSE
35,Cry,FALSE,FALSE,FALSE,FALSE
36,Cab,FALSE,FALSE,FALSE,FALSE
37,Can,FALSE,FALSE,FALSE,FALSE
38,Dad,FALSE,FALSE,FALSE,FALSE
39,Dab,FALSE,FALSE,FALSE,FALSE
40,Dam,FALSE,FALSE,FALSE,FALSE
41,Did,FALSE,FALSE,FALSE,FALSE
42,Dug,FALSE,FALSE,FALSE,FALSE
43,Den,FALSE,FALSE,FALSE,FALSE
44,Dot,FALSE,FALSE,FALSE,FALSE
45,Dip,FALSE,FALSE,FALSE,FALSE
46,Day,FALSE,FALSE,FALSE,FALSE
47,Ear,FALSE,FALSE,FALSE,FALSE
48,Eye,FALSE,FALSE,FALSE,FALSE
49,Eat,FALSE,FALSE,FALSE,FALSE
50,End,FALSE,FALSE,FALSE,FALSE
51,Elf,FALSE,FALSE,FALSE,FALSE
52,Egg,FALSE,FALSE,FALSE,FALSE
53,Far,FALSE,FALSE,FALSE,FALSE
54,Fat,FALSE,FALSE,FALSE,FALSE
55,Few,FALSE,FALSE,FALSE,FALSE
56,Fan,FALSE,FALSE,FALSE,FALSE
57,Fun,FALSE,FALSE,FALSE,FALSE
58,Fit,FALSE,FALSE,FALSE,FALSE
59,Fin,FALSE,FALSE,FALSE,FALSE
60,Fox,FALSE,FALSE,FALSE,FALSE
61,Fix,FALSE,FALSE,FALSE,FALSE
62,Fly,FALSE,FALSE,FALSE,FALSE
63,Fry,FALSE,FALSE,FALSE,FALSE
64,For,FALSE,FALSE,FALSE,FALSE
65,Got,FALSE,FALSE,FALSE,FALSE
66,Get,FALSE,FALSE,FALSE,FALSE
67,God,FALSE,FALSE,FALSE,FALSE
68,Gel,FALSE,FALSE,FALSE,FALSE
69,Gas,FALSE,FALSE,FALSE,FALSE
70,Hat,FALSE,FALSE,FALSE,FALSE
71,Hit,FALSE,FALSE,FALSE,FALSE
72,Has,FALSE,FALSE,FALSE,FALSE
73,Had,FALSE,FALSE,FALSE,FALSE
74,How,FALSE,FALSE,FALSE,FALSE
75,Her,FALSE,FALSE,FALSE,FALSE
76,His,FALSE,FALSE,FALSE,FALSE
77,Hen,FALSE,FALSE,FALSE,FALSE
78,Ink,FALSE,FALSE,FALSE,FALSE
79,Ice,FALSE,FALSE,FALSE,FALSE
80,Ill,FALSE,FALSE,FALSE,FALSE
81,Jab,FALSE,FALSE,FALSE,FALSE
82,Jug,FALSE,FALSE,FALSE,FALSE
83,Jet,FALSE,FALSE,FALSE,FALSE
84,Jam,FALSE,FALSE,FALSE,FALSE
85,Jar,FALSE,FALSE,FALSE,FALSE
86,Job,FALSE,FALSE,FALSE,FALSE
87,Jog,FALSE,FALSE,FALSE,FALSE
88,Kit,FALSE,FALSE,FALSE,FALSE
89,Key,FALSE,FALSE,FALSE,FALSE
90,Lot,FALSE,FALSE,FALSE,FALSE
91,Lit,FALSE,FALSE,FALSE,FALSE
92,Let,FALSE,FALSE,FALSE,FALSE
93,Lay,FALSE,FALSE,FALSE,FALSE
94,Mat,FALSE,FALSE,FALSE,FALSE
95,Man,FALSE,FALSE,FALSE,FALSE
96,Mad,FALSE,FALSE,FALSE,FALSE
97,Mug,FALSE,FALSE,FALSE,FALSE
98,Mix,FALSE,FALSE,FALSE,FALSE
99,Map,FALSE,FALSE,FALSE,FALSE
100,Mum,FALSE,FALSE,FALSE,FALSE
101,Mud,FALSE,FALSE,FALSE,FALSE
102,Mom,FALSE,FALSE,FALSE,FALSE
103,May,FALSE,FALSE,FALSE,FALSE
104,Met,FALSE,FALSE,FALSE,FALSE
105,Net,FALSE,FALSE,FALSE,FALSE
106,New,FALSE,FALSE,FALSE,FALSE
107,Nap,FALSE,FALSE,FALSE,FALSE
108,Now,FALSE,FALSE,FALSE,FALSE
109,Nod,FALSE,FALSE,FALSE,FALSE
110,Net,FALSE,FALSE,FALSE,FALSE
111,Not,FALSE,FALSE,FALSE,FALSE
112,Nut,FALSE,FALSE,FALSE,FALSE
113,Oar,FALSE,FALSE,FALSE,FALSE
114,One,FALSE,FALSE,FALSE,FALSE
115,Out,FALSE,FALSE,FALSE,FALSE
116,Owl,FALSE,FALSE,FALSE,FALSE
117,Old,FALSE,FALSE,FALSE,FALSE
118,Own,FALSE,FALSE,FALSE,FALSE
119,Odd,FALSE,FALSE,FALSE,FALSE
120,Our,FALSE,FALSE,FALSE,FALSE
121,Pet,FALSE,FALSE,FALSE,FALSE
122,Pat,FALSE,FALSE,FALSE,FALSE
123,Peg,FALSE,FALSE,FALSE,FALSE
124,Paw,FALSE,FALSE,FALSE,FALSE
125,Pup,FALSE,FALSE,FALSE,FALSE
126,Pit,FALSE,FALSE,FALSE,FALSE
127,Put,FALSE,FALSE,FALSE,FALSE
128,Pot,FALSE,FALSE,FALSE,FALSE
129,Pop,FALSE,FALSE,FALSE,FALSE
130,Pin,FALSE,FALSE,FALSE,FALSE
131,Rat,FALSE,FALSE,FALSE,FALSE
132,Rag,FALSE,FALSE,FALSE,FALSE
133,Rub,FALSE,FALSE,FALSE,FALSE
134,Row,FALSE,FALSE,FALSE,FALSE
135,Rug,FALSE,FALSE,FALSE,FALSE
136,Run,FALSE,FALSE,FALSE,FALSE
137,Rap,FALSE,FALSE,FALSE,FALSE
138,Ram,FALSE,FALSE,FALSE,FALSE
139,Sow,FALSE,FALSE,FALSE,FALSE
140,See,FALSE,FALSE,FALSE,FALSE
141,Saw,FALSE,FALSE,FALSE,FALSE
142,Set,FALSE,FALSE,FALSE,FALSE
143,Sit,FALSE,FALSE,FALSE,FALSE
144,Sir,FALSE,FALSE,FALSE,FALSE
145,Sat,FALSE,FALSE,FALSE,FALSE
146,Sob,FALSE,FALSE,FALSE,FALSE
147,Tap,FALSE,FALSE,FALSE,FALSE
148,Tip,FALSE,FALSE,FALSE,FALSE
149,Top,FALSE,FALSE,FALSE,FALSE
150,Tug,FALSE,FALSE,FALSE,FALSE
151,Tow,FALSE,FALSE,FALSE,FALSE
152,Toe,FALSE,FALSE,FALSE,FALSE
153,Tan,FALSE,FALSE,FALSE,FALSE
154,Ten,FALSE,FALSE,FALSE,FALSE
155,Two,FALSE,FALSE,FALSE,FALSE
156,Use,FALSE,FALSE,FALSE,FALSE
157,Van,FALSE,FALSE,FALSE,FALSE
158,Vet,FALSE,FALSE,FALSE,FALSE
159,Was,FALSE,FALSE,FALSE,FALSE
160,Wet,FALSE,FALSE,FALSE,FALSE
161,Win,FALSE,FALSE,FALSE,FALSE
162,Won,FALSE,FALSE,FALSE,FALSE
163,Wig,FALSE,FALSE,FALSE,FALSE
164,War,FALSE,FALSE,FALSE,FALSE
165,Why,FALSE,FALSE,FALSE,FALSE
166,Who,FALSE,FALSE,FALSE,FALSE
167,Way,FALSE,FALSE,FALSE,FALSE
168,Wow,FALSE,FALSE,FALSE,FALSE
169,You,FALSE,FALSE,FALSE,FALSE
170,Yes,FALSE,FALSE,FALSE,FALSE
171,Yak,FALSE,FALSE,FALSE,FALSE
172,Yet,FALSE,FALSE,FALSE,FALSE
173,Zip,FALSE,FALSE,FALSE,FALSE
174,Zap,FALSE,FALSE,FALSE,FALSE
